feature_name,importance_gain,importance_split
P_2,105613.81028143168,1251.7
D_42,9581.454545235634,1099.1
D_44,4796.679710674286,456.4
B_3,4729.882527971267,385.8
D_45,4640.3202528834345,439.9
S_3,4321.55805066824,430.9
B_2,4272.276274096966,315.2
B_37,4269.492584872246,165.3
B_1,4068.6121881246568,190.2
B_9,3993.2410130143166,232.1
S_7,3116.8466430068015,454.5
R_1,2897.1122628331186,393.4
D_48,2886.705533027649,398.4
D_41,2545.5258958935738,453.9
R_3,2398.2065123438833,392.9
D_43,2355.814478778839,391.8
D_49,2119.5576573729513,312.0
D_52,1977.8889112830161,292.5
B_6,1880.6287041544915,271.3
D_46,1873.8524302482606,412.8
B_4,1829.1229442358017,308.5
D_51,1770.6023014426232,318.3
B_16,1709.9499205827713,327.2
D_132,1656.0719309806823,217.4
D_50,1561.3269003629684,286.7
B_7,1525.00708193779,171.3
B_17,1511.9729930520057,308.6
P_3,1473.8560688495636,337.8
D_62,1376.1886600136756,274.7
D_119,1352.5457422733307,325.1
D_79,1318.0676339626311,320.6
D_70,1291.6462520122527,280.5
D_59,1273.1582819104194,316.1
D_106,1261.4318284988403,252.9
D_128,1174.7553631901742,293.1
R_27,1174.1028561472892,270.4
D_130,1155.8310168862342,324.1
S_15,1137.4257008671761,286.9
B_8,1124.418455195427,169.8
S_23,1100.444437813759,264.2
S_27,1034.1681908488274,279.7
B_11,1024.4355758428574,151.0
D_112,994.2786253452301,214.4
D_61,974.7772146701813,188.8
S_9,964.5368201613426,263.6
S_22,954.3771592736244,226.5
D_123,937.6306887984276,239.2
B_32,937.347361779213,259.3
S_25,910.564032125473,232.3
D_69,895.5465835928917,278.3
D_78,883.7808316349983,223.9
D_140,878.9795930147171,245.1
B_12,829.4963486671447,238.0
D_47,828.7156993746758,174.0
D_118,824.6434188008309,182.7
R_14,787.4968285679818,221.8
D_131,764.7605643630028,192.0
R_4,736.741146171093,211.3
D_65,731.7194730520248,185.8
D_53,719.9061587333679,183.7
B_26,694.3945183753967,195.1
S_8,682.0757526278496,155.6
S_5,675.7996508955955,191.1
D_139,632.028225851059,183.9
D_124,614.5378360033035,172.7
B_40,599.3567010879517,142.5
R_7,587.5835084319115,175.4
S_24,587.1997975111008,152.8
B_5,583.8441978693008,149.2
B_22,575.9203999757767,141.4
B_21,560.3585349202156,162.0
S_26,552.1715990424157,158.1
B_33,531.8221148371697,147.7
D_75,529.483795928955,107.2
D_121,527.7508585095405,148.3
P_4,515.8091807126999,151.2
D_144,510.1265407323837,148.1
D_113,509.30838762521745,143.7
S_13,496.70575815439224,137.6
S_11,493.4964160680771,134.2
D_56,491.0187973499298,125.9
D_54,490.5174070477486,153.2
B_36,488.0112014532089,133.3
D_129,484.7311179757118,138.8
B_10,478.6985078930855,123.6
D_71,475.80941276550294,130.2
R_26,471.12599686384203,120.6
D_86,461.98711717128754,127.5
R_11,460.36763603687285,128.6
D_96,453.9434029102325,134.1
S_17,447.4611317515373,130.4
D_39,442.48225221633913,109.4
R_21,441.59479998350145,139.3
R_12,438.7597934961319,118.1
R_23,431.7953856945038,135.2
B_19,429.5414959669113,103.6
S_20,422.0683637499809,130.7
S_19,415.55077452659606,131.4
B_25,401.13985495567323,90.1
D_107,399.23157795667646,111.0
D_127,396.2035435438156,116.6
D_80,391.0282831311226,117.1
D_142,382.55079938173293,110.1
D_102,381.81848360300063,115.5
D_92,379.1952548742294,102.7
D_133,377.30815175771716,105.5
B_27,369.5963914632797,113.4
B_38,368.75774080753325,71.8
D_84,363.1787080168724,116.4
D_74,362.6256596207619,92.3
R_18,360.688684630394,108.6
R_19,356.07318172454836,113.0
R_10,352.5913895368576,108.6
S_6,352.5019902944565,103.9
D_72,347.9323178291321,99.8
D_104,347.66872683763506,107.9
R_16,345.3456675648689,99.3
B_39,343.1891143321991,73.6
B_20,338.1475459933281,94.4
B_41,332.6270145535469,91.8
D_91,324.9614297628403,104.4
D_76,320.8788584828377,85.8
D_125,315.9520378232002,104.3
D_105,310.24331188201904,90.7
S_18,308.5880573034286,100.9
S_12,308.3818572282791,100.3
R_25,302.7353651046753,103.1
D_122,302.0708412885666,95.8
D_58,299.0088850617409,71.4
D_55,298.34545681476595,75.8
D_77,292.6522328257561,80.7
R_8,286.23301286697387,84.3
D_94,285.2702728509903,86.8
R_24,280.07606037855146,83.5
R_15,275.41884701251985,83.9
D_81,272.7095919251442,81.3
D_143,269.8451468706131,84.8
R_28,264.05063531398775,82.3
B_15,260.19311228990557,81.5
B_23,259.6292965531349,55.4
B_24,256.71672427654266,83.5
D_115,256.3466731309891,78.5
R_22,255.97272005081177,79.8
R_17,253.91436808109285,91.7
D_103,249.74583724737167,75.4
D_82,245.52949310541152,71.6
R_9,244.59009177684783,65.5
D_89,242.0115913629532,80.2
D_145,238.13248286247253,73.7
D_141,235.54573872089387,74.5
B_14,235.11063190698624,64.2
D_109,227.62581062316895,73.5
D_83,224.2552478313446,72.2
R_6,223.3474117040634,70.9
R_2,222.9632514834404,65.1
D_114,211.30951614379882,45.1
B_18,210.729328584671,54.9
R_20,190.94187688827515,61.3
B_13,180.1612189412117,53.3
R_5,177.47493267059326,53.7
D_93,161.76187673807144,56.5
R_13,161.6997420668602,58.0
S_16,121.38887605667114,42.2
D_60,120.11253693103791,36.9
B_28,118.1218820810318,35.1
D_126,98.11919296979904,25.9
D_138,75.9045769572258,22.7
D_134,71.94989875555038,21.3
D_135,67.90935587882996,22.7
D_117,60.7465739607811,20.1
D_137,53.115204977989194,16.0
D_111,42.89303292036057,15.5
B_29,39.31096285581589,13.9
D_136,15.638941991329194,5.4
